City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
373,Palu,ID,82.38,broken clouds,-0.8917,119.8707,Hotel Santika Palu
388,Miri,MY,80.08,broken clouds,4.4148,114.0089,"Mega Hotel, Miri"
389,Ocampo,MX,83.37,broken clouds,21.65,-101.5,Hotel Estancia del Vaquero
391,Doha,QA,78.78,clear sky,25.2867,51.5333,Movenpick Hotel Doha
395,Mareeba,AU,79.66,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
401,Maturin,VE,79.16,overcast clouds,9.75,-63.1767,Hotel Residencial La Pichincha
407,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
409,Vanimo,PG,82.74,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
410,George Town,MY,82.33,scattered clouds,5.4112,100.3354,Cititel Penang
413,Ouegoa,NC,79.92,overcast clouds,-20.35,164.4333,
414,Saint George,US,85.62,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
415,Vao,NC,76.98,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
417,Bambous Virieux,MU,75.22,light rain,-20.3428,57.7575,Casa Tia Villa
418,Maragogi,BR,78.78,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
419,Acajutla,SV,84.18,overcast clouds,13.5928,-89.8275,Laureles
421,Honiara,SB,86.11,broken clouds,-9.4333,159.95,Heritage Park Hotel
425,Dindori,IN,76.5,clear sky,22.95,81.0833,Konark Marriage Garden
427,Candido Mendes,BR,75.15,overcast clouds,-1.4467,-45.7167,Quebrada Do Mlk PJL
428,Tadine,NC,78.91,overcast clouds,-21.55,167.8833,
430,Morro Bay,US,81.48,broken clouds,35.3658,-120.8499,Inn at Morro Bay
433,Benjamin Constant,BR,77.13,broken clouds,-4.3831,-70.0311,CASA AVALIADA
437,Wiang Sa,TH,82.29,broken clouds,8.6359,99.3666,ชำนาญอินน์
440,Esna,EG,85.53,scattered clouds,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
444,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
445,Acarau,BR,78.28,overcast clouds,-2.8856,-40.12,castelo pizzaria
449,Tual,ID,84.36,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
451,Puerto Quijarro,BO,77.56,clear sky,-17.7833,-57.7667,Hotel palance
458,Fare,PF,81.0,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
460,Bac Lieu,VN,82.94,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
463,Kampong Thum,KH,79.7,overcast clouds,12.7111,104.8887,Sambor Village Hotel
473,Contai,IN,79.18,scattered clouds,21.7786,87.7536,PATHFINDER
474,Jatiroto,ID,77.4,overcast clouds,-7.8833,111.1167,Mushola Al Huda
476,Sakti,IN,77.43,clear sky,22.0333,82.9667,C.B. Sweet Home
483,Buala,SB,83.75,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
484,Cabo San Lucas,MX,88.9,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
487,Silver City,US,80.56,clear sky,32.7701,-108.2803,Copper Manor Motel
488,Tiruchchirappalli,IN,75.31,mist,10.8167,78.6833,Sangam Hotel
489,Port-Gentil,GA,81.03,light rain,-0.7193,8.7815,Fengshui Residence
491,Samarai,PG,82.56,overcast clouds,-10.6167,150.6667,Nuli Sapi
492,Maningrida,AU,81.1,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
497,Alofi,NU,85.89,overcast clouds,-19.0595,-169.9187,Taloa Heights
500,Chakwal,PK,75.45,few clouds,32.9334,72.8585,Uet Boys Hostel
503,Phan Thiet,VN,79.41,broken clouds,10.9333,108.1,Hotel Saigon-PT
506,Thinadhoo,MV,83.43,overcast clouds,0.5333,72.9333,
509,Mae Hong Son,TH,78.04,scattered clouds,19.3003,97.9685,Baiyoke Chalet Hotel
510,Ca Mau,VN,82.22,scattered clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
516,Edea,CM,75.47,overcast clouds,3.8,10.1333,Micotel Hotel
518,Atar,MR,85.42,overcast clouds,20.5169,-13.0499,Oumou Elghoura
519,Nhulunbuy,AU,77.61,moderate rain,-12.2333,136.7667,East Arnhem Real Estate
522,Manuk Mangkaw,PH,82.04,overcast clouds,4.8,119.85,
525,Puerto Escondido,MX,85.03,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
526,Biak,ID,80.74,broken clouds,-0.9131,122.8766,Penginapan Kim
528,San Antonio,US,88.84,scattered clouds,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
546,Kimparana,ML,86.74,overcast clouds,12.8347,-4.9244,
549,Anloga,GH,82.63,light rain,5.7947,0.8973,Pin Drop Hotel
553,Sampit,ID,78.75,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
556,Monrovia,LR,78.75,overcast clouds,6.3005,-10.7969,Sunset Inn
557,Aguimes,ES,75.83,broken clouds,27.9054,-15.4461,Hotel Villa de Aguimes
558,The Valley,AI,79.11,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
561,Tecoanapa,MX,83.61,scattered clouds,16.5167,-98.75,Hotel Manglares
562,Oistins,BB,78.89,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
565,Qeshm,IR,77.05,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
567,Sibolga,ID,75.69,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
570,Umm Kaddadah,SD,84.78,few clouds,13.6017,26.6876,
571,Micheweni,TZ,79.18,light rain,-4.9667,39.8333,
572,Pemangkat,ID,79.66,broken clouds,1.1667,108.9667,Ramah Kost KITA
574,Dalbandin,PK,75.58,few clouds,28.8947,64.4101,Sanjrani House
575,Kupang,ID,81.25,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
578,Itacoatiara,BR,75.58,overcast clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
580,Blackwater,AU,76.01,clear sky,-23.5833,148.8833,Blackwater Motor Inn
582,Nabire,ID,80.8,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
585,Dwarka,IN,79.47,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
589,Bundaberg,AU,80.22,scattered clouds,-24.85,152.35,Takalvan Motel
596,Lobito,AO,77.11,overcast clouds,-12.3481,13.5456,Casa Rosa Hotel Residence
597,Popondetta,PG,88.63,overcast clouds,-8.7537,148.2534,Timos Transit House
612,Touros,BR,80.29,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
613,Namatanai,PG,85.37,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
614,Vihari,PK,82.18,broken clouds,30.0333,72.35,Al Shafi
617,Aldama,MX,78.37,few clouds,22.9167,-98.0667,CASA CANYE
618,Iranshahr,IR,77.34,clear sky,27.2025,60.6848,نیک سرشت
625,Tamandare,BR,78.73,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
628,Natal,BR,80.82,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
633,Ambagarh Chauki,IN,79.07,clear sky,20.7833,80.7167,गाँधी चौक शांति भवन सोनसाय टोला
636,Pontianak,ID,76.98,light rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
