City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Weather Description
299,Tartus,34.889,35.8866,72.09,33,86,9.51,SY,2022-04-18 00:11:06,overcast clouds
300,Port Keats,-14.25,129.55,84.99,66,21,2.44,AU,2022-04-18 00:11:07,few clouds
301,Chingola,-12.529,27.8838,59.85,97,40,3.53,ZM,2022-04-18 00:11:07,scattered clouds
302,Carnarvon,-24.8667,113.6333,66.27,82,98,12.66,AU,2022-04-18 00:06:09,overcast clouds
303,Araouane,18.9048,-3.5265,74.75,23,0,8.68,ML,2022-04-18 00:11:07,clear sky
304,Sebinkarahisar,40.2883,38.4236,49.75,52,100,6.85,TR,2022-04-18 00:11:08,overcast clouds
305,Norman Wells,65.282,-126.8329,21.36,71,79,5.84,CA,2022-04-18 00:11:08,broken clouds
306,Akyab,20.15,92.9,80.91,83,58,4.0,MM,2022-04-18 00:11:08,broken clouds
307,Kilrush,52.6397,-9.4833,44.35,79,27,8.48,IE,2022-04-18 00:11:09,scattered clouds
308,Faya,18.3851,42.4509,64.67,37,41,3.04,SA,2022-04-18 00:11:09,scattered clouds
309,Kroya,-7.6331,109.2461,80.26,85,96,3.29,ID,2022-04-18 00:11:10,overcast clouds
310,Kasempa,-13.4584,25.8338,61.97,97,5,4.63,ZM,2022-04-18 00:11:10,clear sky
311,Yumen,40.2833,97.2,42.19,28,0,5.17,CN,2022-04-18 00:11:10,clear sky
312,Anadyr,64.75,177.4833,32.5,86,75,24.61,RU,2022-04-18 00:06:14,light snow
313,Kisoro,-1.2854,29.685,56.1,97,80,3.89,UG,2022-04-18 00:11:11,broken clouds
314,Lodja,-3.4833,23.4333,69.98,93,68,1.74,CD,2022-04-18 00:11:11,broken clouds
315,Victoria,22.2855,114.1577,71.65,80,100,4.0,HK,2022-04-18 00:07:08,overcast clouds
316,Salcininkai,54.3,25.3833,34.84,75,9,7.11,LT,2022-04-18 00:11:12,clear sky
317,Bobcaygeon,44.5462,-78.542,39.15,58,91,9.57,CA,2022-04-18 00:11:12,overcast clouds
318,Nevsehir,38.9167,34.6667,54.61,33,75,12.66,TR,2022-04-18 00:11:13,broken clouds
319,Shimoda,34.6667,138.95,56.1,83,100,7.36,JP,2022-04-18 00:11:13,overcast clouds
320,Kangaatsiaq,68.3065,-53.4641,7.23,94,100,5.73,GL,2022-04-18 00:03:27,overcast clouds
321,Lazaro Cardenas,17.9583,-102.2,79.27,58,100,5.97,MX,2022-04-18 00:11:14,overcast clouds
322,Iracoubo,5.4802,-53.2011,77.25,87,33,10.63,GF,2022-04-18 00:11:14,scattered clouds
