City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
102,Tual,ID,2022-04-17 17:43:56,-5.6667,132.75,83.3,76,100,10.13
103,Tasiilaq,GL,2022-04-17 17:43:56,65.6145,-37.6368,35.76,99,100,8.57
104,Suzun,RU,2022-04-17 17:43:56,53.7841,82.3116,50.59,72,98,5.28
105,Coihaique,CL,2022-04-17 17:43:57,-45.5752,-72.0662,52.41,76,0,2.3
106,Ostrovnoy,RU,2022-04-17 17:43:57,68.0531,39.5131,33.89,91,100,18.16
107,Bethlehem,BR,2022-04-17 17:43:57,-1.4558,-48.5044,78.84,89,40,8.05
108,Pimentel,PE,2022-04-17 17:43:58,-6.8367,-79.9342,73.69,64,0,16.11
109,Katobu,ID,2022-04-17 17:43:58,-4.9408,122.5276,75.02,95,100,1.52
110,Kavaratti,IN,2022-04-17 17:43:58,10.5669,72.642,84.67,71,14,6.15
111,Springdale,US,2022-04-17 17:39:18,36.1867,-94.1288,55.13,80,100,11.5
112,Celestun,MX,2022-04-17 17:43:59,20.8667,-90.4,89.71,49,1,6.64
113,Tilichiki,RU,2022-04-17 17:43:59,60.4667,166.1,11.37,98,65,6.38
114,Starosubkhangulovo,RU,2022-04-17 17:43:59,53.1031,57.4423,40.78,84,72,1.23
115,Buta,CD,2022-04-17 17:44:00,2.7858,24.73,79.03,64,88,2.71
116,Port Alfred,ZA,2022-04-17 17:44:00,-33.5906,26.891,66.45,81,94,6.44
117,Aklavik,CA,2022-04-17 17:44:00,68.2191,-135.0107,12.2,48,75,9.22
118,Korla,CN,2022-04-17 17:44:01,41.7597,86.1469,57.22,14,1,3.71
119,Saint-Philippe,RE,2022-04-17 17:43:35,-21.3585,55.7679,78.39,89,38,12.46
120,Oranjemund,NA,2022-04-17 17:44:01,-28.55,16.4333,61.83,70,0,9.24
121,Barrow,US,2022-04-17 17:44:02,71.2906,-156.7887,-7.58,84,0,10.36
122,Rincon,US,2022-04-17 17:39:22,32.296,-81.2354,85.86,45,40,11.5
123,Husavik,IS,2022-04-17 17:44:02,66.0449,-17.3389,40.98,97,100,3.24
124,Guerrero Negro,MX,2022-04-17 17:44:02,27.9769,-114.0611,68.5,57,64,17.11
125,Waingapu,ID,2022-04-17 17:44:03,-9.6567,120.2641,79.27,86,98,3.67
126,Rawson,AR,2022-04-17 17:44:03,-43.3002,-65.1023,66.36,56,10,24.7
127,Bloomingdale,US,2022-04-17 17:44:04,27.8936,-82.2404,91.06,61,75,5.01
128,Tuktoyaktuk,CA,2022-04-17 17:44:04,69.4541,-133.0374,6.8,61,75,8.05
129,Albany,US,2022-04-17 17:41:26,42.6001,-73.9662,43.29,67,78,4.0
130,Pochutla,MX,2022-04-17 17:44:04,15.7432,-96.4661,91.81,40,59,9.48
131,Chokurdakh,RU,2022-04-17 17:44:06,70.6333,147.9167,-9.42,100,63,3.94
132,Brandon,US,2022-04-17 17:43:44,27.9378,-82.2859,91.08,62,75,5.01
133,Mount Gambier,AU,2022-04-17 17:44:06,-37.8333,140.7667,57.11,100,100,8.05
134,Esil,KZ,2022-04-17 17:44:06,51.9556,66.4042,53.58,51,100,11.92
135,Cherskiy,RU,2022-04-17 17:42:23,68.75,161.3,-3.21,100,100,3.06
136,Atuona,PF,2022-04-17 17:42:25,-9.8,-139.0333,79.38,80,39,18.21
137,Kaitangata,NZ,2022-04-17 17:44:07,-46.2817,169.8464,42.58,93,5,4.07
138,Clyde River,CA,2022-04-17 17:44:07,70.4692,-68.5914,-9.17,77,75,11.5
139,Taoudenni,ML,2022-04-17 17:44:07,22.6783,-3.9836,88.12,16,0,15.1
140,Ailigandi,PA,2022-04-17 17:44:08,9.2333,-78.0167,82.62,75,100,7.07
141,Gizo,SB,2022-04-17 17:45:08,-8.103,156.8419,81.12,76,99,9.82
142,Caravelas,BR,2022-04-17 17:45:09,-17.7125,-39.2481,77.61,68,100,11.36
143,Karratha,AU,2022-04-17 17:45:09,-20.7377,116.8463,84.72,43,20,3.18
144,Norman Wells,CA,2022-04-17 17:45:10,65.282,-126.8329,5.04,56,20,5.75
145,Tocopilla,CL,2022-04-17 17:45:10,-22.092,-70.1979,68.61,69,9,9.08
146,Wanaka,NZ,2022-04-17 17:44:20,-44.7,169.15,40.1,93,0,1.01
147,Fairbanks,US,2022-04-17 17:41:07,64.8378,-147.7164,27.82,34,0,10.36
148,Bethel,US,2022-04-17 17:45:11,41.3712,-73.414,49.15,43,75,11.5
149,Coos Bay,US,2022-04-17 17:45:11,43.3665,-124.2179,49.23,88,0,8.05
150,Qeshm,IR,2022-04-17 17:45:11,26.9581,56.2719,82.29,45,2,27.96
151,Lebu,CL,2022-04-17 17:45:12,-37.6167,-73.65,59.04,77,100,10.31
152,Ghanzi,BW,2022-04-17 17:45:12,-21.5667,21.7833,68.88,72,98,8.32
153,Khartoum,SD,2022-04-17 17:40:45,15.5518,32.5324,95.02,22,51,1.88
154,Qaanaaq,GL,2022-04-17 17:45:13,77.484,-69.3632,-10.84,71,6,1.61
155,Cayenne,GF,2022-04-17 17:45:13,4.9333,-52.3333,86.04,9,75,12.66
156,Tuatapere,NZ,2022-04-17 17:45:13,-46.1333,167.6833,44.11,92,1,4.41
157,The Colony,US,2022-04-17 17:42:07,33.089,-96.8864,70.48,64,100,9.22
158,Tongchuan,CN,2022-04-17 17:45:14,35.0806,109.0897,49.96,31,100,11.16
159,Maningrida,AU,2022-04-17 17:45:14,-12.0667,134.2667,74.46,91,99,8.46
160,Vila Velha,BR,2022-04-17 17:42:40,-20.3297,-40.2925,82.35,61,0,18.41
161,Tiksi,RU,2022-04-17 17:45:15,71.6872,128.8694,-8.84,98,45,1.95
162,Birjand,IR,2022-04-17 17:45:15,32.8663,59.2211,61.27,63,75,24.16
163,Port Augusta,AU,2022-04-17 17:45:16,-32.5,137.7667,65.88,75,100,17.4
164,Saint-Joseph,RE,2022-04-17 17:45:16,-21.3667,55.6167,77.38,86,23,12.97
165,Fortuna,US,2022-04-17 17:45:17,40.5982,-124.1573,51.98,73,0,0.0
166,Sargur,IN,2022-04-17 17:45:17,11.9833,76.4167,76.51,74,37,3.33
167,Georgetown,MY,2022-04-17 17:42:22,5.4112,100.3354,82.33,89,20,3.44
168,Puerto Ayora,EC,2022-04-17 17:45:17,-0.7393,-90.3518,78.76,84,90,9.48
169,Ushtobe,KZ,2022-04-17 17:45:18,45.2514,77.9838,64.81,17,57,7.65
170,Verkhnevilyuysk,RU,2022-04-17 17:45:18,63.4453,120.3167,29.89,96,100,11.48
171,Novobirilyussy,RU,2022-04-17 17:45:19,56.9514,90.6661,42.57,96,81,5.93
172,Khanpur,PK,2022-04-17 17:45:19,28.6453,70.6567,94.98,16,73,14.43
173,Disna,BY,2022-04-17 17:45:19,55.568,28.1971,35.96,64,70,7.02
174,San Lorenzo,PY,2022-04-17 17:42:57,-25.3333,-57.5333,77.94,50,20,9.22
175,Lorengau,PG,2022-04-17 17:45:20,-2.0226,147.2712,81.18,81,58,5.39
176,Klaksvik,FO,2022-04-17 17:45:20,62.2266,-6.589,49.12,96,100,11.74
177,Barcelos,PT,2022-04-17 17:42:09,41.5388,-8.6151,75.92,67,79,11.81
178,Regina,CA,2022-04-17 17:43:58,50.4501,-104.6178,26.58,67,75,5.01
179,Eenhana,NA,2022-04-17 17:45:21,-17.4667,16.3333,73.94,60,93,4.38
180,Margate,GB,2022-04-17 17:42:27,51.3813,1.3862,56.88,69,79,3.0
181,Nikolskoye,RU,2022-04-17 17:42:29,59.7035,30.7861,40.89,76,78,3.71
182,Salalah,OM,2022-04-17 17:45:21,17.0151,54.0924,82.49,83,20,6.91
183,Rantepao,ID,2022-04-17 17:45:22,-2.9701,119.8978,68.07,98,100,2.39
184,Lagoa,PT,2022-04-17 17:45:22,39.05,-27.9833,57.63,69,18,14.7
185,Hamilton,US,2022-04-17 17:44:13,39.1834,-84.5333,49.98,44,0,10.36
186,Dingle,PH,2022-04-17 17:45:22,10.9995,122.6711,76.03,90,61,7.25
187,Nantucket,US,2022-04-17 17:46:23,41.2835,-70.0995,51.94,63,0,19.57
188,Livingston,GB,2022-04-17 17:46:23,55.9029,-3.5226,62.96,49,0,12.66
189,Manokwari,ID,2022-04-17 17:46:24,-0.8667,134.0833,78.26,80,84,4.47
190,Iqaluit,CA,2022-04-17 17:46:24,63.7506,-68.5145,-2.31,64,75,21.85
191,Kahului,US,2022-04-17 17:44:54,20.8947,-156.47,74.84,76,40,9.22
192,Longyearbyen,SJ,2022-04-17 17:42:12,78.2186,15.6401,21.04,86,100,9.22
193,Mahebourg,MU,2022-04-17 17:45:49,-20.4081,57.7,79.09,94,75,3.44
194,Polistena,IT,2022-04-17 17:46:25,38.406,16.08,51.01,96,100,1.21
195,Bredasdorp,ZA,2022-04-17 17:46:25,-34.5322,20.0403,59.4,92,4,5.73
196,Papetoai,PF,2022-04-17 17:46:26,-17.4961,-149.8729,80.19,73,12,13.29
197,Rorvik,NO,2022-04-17 17:46:26,64.8621,11.2373,55.51,44,0,4.61
198,Mar Del Plata,AR,2022-04-17 17:42:24,-38.0023,-57.5575,69.82,81,40,9.22
199,Esperance,AU,2022-04-17 17:46:26,-33.8667,121.9,51.64,65,57,10.4
200,Homer,US,2022-04-17 17:46:27,59.6425,-151.5483,39.09,81,100,4.61
201,Sao Filipe,CV,2022-04-17 17:46:27,14.8961,-24.4956,72.03,77,33,14.25
202,Fort Nelson,CA,2022-04-17 17:46:27,58.8053,-122.7002,11.79,73,100,9.22
203,Jumla,NP,2022-04-17 17:46:28,29.2747,82.1838,50.63,59,36,4.07
204,Junin,AR,2022-04-17 17:44:24,-34.5838,-60.9433,72.55,41,32,8.1
205,Sobolevo,RU,2022-04-17 17:46:28,54.4299,31.8996,35.8,74,100,13.24
206,Leningradskiy,RU,2022-04-17 17:46:29,69.3833,178.4167,0.5,94,40,3.27
207,San Quintin,MX,2022-04-17 17:46:29,30.4833,-115.95,66.07,59,0,16.24
208,Coolum Beach,AU,2022-04-17 17:46:29,-26.5333,153.1,66.11,87,83,7.81
